cn_clone_id	segment_id	chromosome	start	end	allele_a_cn	allele_b_cn
clone0	seg01	1	1	100000	1	1
clone0	seg02	1	100001	200000	1	1
clone0	seg03	1	200001	300000	2	1
clone0	seg04	1	300001	400000	1	0
clone0	seg05	1	400001	500000	1	1
clone0	seg06	1	500001	600000	1	1
clone0	seg07	1	600001	700000	3	1
clone0	seg08	1	700001	800000	2	0
clone0	seg09	1	800001	900000	2	1
clone0	seg10	1	900001	1000000	1	1
clone1	seg01	1	1	100000	1	1
clone1	seg02	1	100001	200000	1	1
clone1	seg03	1	200001	300000	1	1
clone1	seg04	1	300001	400000	1	1
clone1	seg05	1	400001	500000	1	2
clone1	seg06	1	500001	600000	2	2
clone1	seg07	1	600001	700000	2	1
clone1	seg08	1	700001	800000	1	0
clone1	seg09	1	800001	900000	2	1
clone1	seg10	1	900001	1000000	1	1
