mutation_id	segment_id	chromosome	position
m001	seg01	1	1000
m002	seg01	1	2000
m003	seg01	1	3000
m004	seg01	1	4000
m005	seg01	1	5000
m006	seg01	1	6000
m007	seg01	1	7000
m008	seg01	1	8000
m009	seg01	1	9000
m010	seg01	1	10000
m011	seg01	1	11000
m012	seg01	1	12000
m013	seg01	1	13000
m014	seg01	1	14000
m015	seg01	1	15000
m016	seg01	1	16000
m017	seg01	1	17000
m018	seg01	1	18000
m019	seg01	1	19000
m020	seg01	1	20000
m021	seg01	1	21000
m022	seg01	1	22000
m023	seg01	1	23000
m024	seg01	1	24000
m025	seg01	1	25000
m026	seg01	1	26000
m027	seg01	1	27000
m028	seg01	1	28000
m029	seg01	1	29000
m030	seg01	1	30000
m031	seg02	1	101000
m032	seg02	1	102000
m033	seg02	1	103000
m034	seg02	1	104000
m035	seg02	1	105000
m036	seg02	1	106000
m037	seg02	1	107000
m038	seg02	1	108000
m039	seg02	1	109000
m040	seg02	1	110000
m041	seg02	1	111000
m042	seg02	1	112000
m043	seg02	1	113000
m044	seg02	1	114000
m045	seg02	1	115000
m046	seg02	1	116000
m047	seg02	1	117000
m048	seg02	1	118000
m049	seg02	1	119000
m050	seg02	1	120000
m051	seg02	1	121000
m052	seg02	1	122000
m053	seg02	1	123000
m054	seg02	1	124000
m055	seg02	1	125000
m056	seg02	1	126000
m057	seg02	1	127000
m058	seg02	1	128000
m059	seg02	1	129000
m060	seg02	1	130000
m061	seg03	1	201000
m062	seg03	1	202000
m063	seg03	1	203000
m064	seg03	1	204000
m065	seg03	1	205000
m066	seg03	1	206000
m067	seg03	1	207000
m068	seg03	1	208000
m069	seg03	1	209000
m070	seg03	1	210000
m071	seg03	1	211000
m072	seg03	1	212000
m073	seg03	1	213000
m074	seg03	1	214000
m075	seg03	1	215000
m076	seg03	1	216000
m077	seg03	1	217000
m078	seg03	1	218000
m079	seg03	1	219000
m080	seg03	1	220000
m081	seg03	1	221000
m082	seg03	1	222000
m083	seg03	1	223000
m084	seg03	1	224000
m085	seg03	1	225000
m086	seg03	1	226000
m087	seg03	1	227000
m088	seg03	1	228000
m089	seg03	1	229000
m090	seg03	1	230000
m091	seg04	1	301000
m092	seg04	1	302000
m093	seg04	1	303000
m094	seg04	1	304000
m095	seg04	1	305000
m096	seg04	1	306000
m097	seg04	1	307000
m098	seg04	1	308000
m099	seg04	1	309000
m100	seg04	1	310000
m101	seg04	1	311000
m102	seg04	1	312000
m103	seg04	1	313000
m104	seg04	1	314000
m105	seg04	1	315000
m106	seg04	1	316000
m107	seg04	1	317000
m108	seg04	1	318000
m109	seg04	1	319000
m110	seg04	1	320000
m111	seg04	1	321000
m112	seg04	1	322000
m113	seg04	1	323000
m114	seg04	1	324000
m115	seg04	1	325000
m116	seg04	1	326000
m117	seg04	1	327000
m118	seg04	1	328000
m119	seg04	1	329000
m120	seg04	1	330000
m121	seg05	1	401000
m122	seg05	1	402000
m123	seg05	1	403000
m124	seg05	1	404000
